,H
2015-09-23,14.184999999999945
2015-09-24,13.329999999999927
2015-09-25,12.465999999999894
2015-09-26,11.621999999999844
2015-09-27,10.722999999999956
2015-09-28,9.754999999999882
2015-09-29,8.936999999999898
2015-09-30,8.20699999999988
2015-10-01,8.010999999999967
2015-10-02,8.552999999999884
2015-10-03,9.307000000000016
2015-10-04,10.135999999999967
2015-10-05,10.88299999999981
2015-10-06,11.588999999999942
2015-10-07,12.215999999999894
2015-10-08,12.788999999999987
2015-10-09,13.398999999999887
2015-10-10,14.087999999999965
2015-10-11,14.679999999999836
2015-10-12,15.182999999999993
2015-10-13,15.621999999999844
2015-10-14,16.052999999999884
2015-10-15,16.43899999999985
2015-10-16,16.83699999999999
2015-10-17,17.202999999999975
2015-10-18,17.524999999999864
2015-10-19,17.846000000000004
2015-10-20,18.173000000000002
2015-10-21,18.523999999999887
2015-10-22,18.830999999999904
2015-10-23,19.09199999999987
2015-10-24,19.352999999999838
2015-10-25,19.613999999999805
2015-10-26,19.90099999999984
2015-10-27,20.131999999999834
2015-10-28,20.386999999999944
2015-10-29,20.708999999999833
2015-10-30,21.0
2015-10-31,21.289999999999964
2015-11-01,21.57399999999984
2015-11-02,21.75999999999999
2015-11-03,21.937999999999874
2015-11-04,22.138999999999896
2015-11-05,22.378999999999905
2015-11-06,22.583000000000084
2015-11-07,22.156999999999925
2015-11-08,21.638999999999896
2015-11-09,21.15000000000009
2015-11-10,20.701999999999998
2015-11-11,20.0329999999999
2015-11-12,19.251999999999953
2015-11-13,18.225999999999885
2015-11-14,17.19399999999996
2015-11-15,16.055999999999813
2015-11-16,14.840999999999894
2015-11-17,13.521999999999935
2015-11-18,12.153999999999996
2015-11-19,10.717999999999847
2015-11-20,9.15300000000002
2015-11-21,7.226999999999862
2015-11-22,5.91599999999994
2015-11-23,5.253999999999905
2015-11-24,4.789999999999964
2015-11-25,4.40300000000002
2015-11-26,4.116999999999962
2015-11-27,3.8489999999999327
2015-11-28,3.5349999999998545
2015-11-29,3.313999999999851
2015-11-30,3.1599999999998545
2015-12-01,2.910999999999831
2015-12-02,2.7229999999999563
2015-12-03,2.58199999999988
2015-12-04,2.4139999999999873
2015-12-05,2.2789999999999964
2015-12-06,2.548000000000002
2015-12-07,3.5949999999998
2015-12-08,4.528999999999996
2015-12-09,5.6039999999998145
2015-12-10,6.488999999999805
2015-12-11,7.244999999999891
2015-12-12,7.8940000000000055
2015-12-13,8.423000000000002
2015-12-14,8.929999999999836
2015-12-15,9.442999999999984
2015-12-16,9.8449999999998
2015-12-17,10.167999999999893
2015-12-18,10.444999999999936
2015-12-19,10.72199999999998
2015-12-20,11.017999999999802
2015-12-21,11.293999999999869
2015-12-22,11.524999999999864
2015-12-23,11.754999999999882
2015-12-24,11.99799999999982
2015-12-25,12.208999999999833
2015-12-26,12.388857142856978
2015-12-27,12.568714285714123
2015-12-28,12.748571428571267
2015-12-29,12.928428571428412
2015-12-30,13.108285714285557
2015-12-31,13.288142857142702
2016-01-01,13.467999999999847
2016-01-02,13.61999999999989
2016-01-03,13.746999999999844
2016-01-04,13.942999999999984
2016-01-05,14.163999999999987
2016-01-06,14.314999999999827
2016-01-07,14.53599999999983
2016-01-08,14.705999999999904
2016-01-09,14.830999999999904
2016-01-10,14.987999999999829
2016-01-11,15.169999999999845
2016-01-12,15.295999999999822
2016-01-13,15.495999999999867
2016-01-14,15.702999999999975
2016-01-15,15.852999999999838
2016-01-16,16.039999999999964
2016-01-17,16.22699999999986
2016-01-18,16.339999999999918
2016-01-19,16.445999999999913
2016-01-20,16.625999999999976
2016-01-21,16.712999999999965
2016-01-22,16.861999999999853
2016-01-23,16.986999999999853
2016-01-24,17.173000000000002
2016-01-25,17.339999999999918
2016-01-26,17.549999999999955
2016-01-27,17.692999999999984
2016-01-28,17.865999999999985
2016-01-29,18.02599999999984
2016-01-30,18.161999999999807
2016-01-31,18.284999999999854
2016-02-01,18.384000000000015
2016-02-02,18.549999999999955
2016-02-03,18.74000000000001
2016-02-04,18.86299999999983
2016-02-05,18.991999999999962
2016-02-06,19.13299999999981
2016-02-07,19.260999999999967
2016-02-08,19.34699999999998
2016-02-09,19.48199999999997
2016-02-10,19.634000000000015
2016-02-11,19.725999999999885
2016-02-12,19.82399999999984
2016-02-13,19.866999999999962
2016-02-14,20.067999999999984
2016-02-15,20.23799999999983
2016-02-16,20.298999999999978
2016-02-17,20.414999999999964
2016-02-18,20.529999999999973
2016-02-19,20.687999999999874
2016-02-20,20.846000000000004
2016-02-21,20.972999999999956
2016-02-22,21.057999999999993
2016-02-23,21.19699999999989
2016-02-24,21.329999999999927
2016-02-25,21.45699999999988
2016-02-26,21.510999999999967
2016-02-27,21.71699999999987
2016-02-28,21.896999999999935
2016-03-01,21.98199999999997
2016-03-02,22.083999999999833
2016-03-03,22.13799999999992
2016-03-04,22.245999999999867
2016-03-05,22.34199999999987
2016-03-06,22.432999999999993
2016-03-07,22.192999999999984
2016-03-08,21.91599999999994
2016-03-09,21.66899999999987
2016-03-10,21.374000000000024
2016-03-11,21.028999999999996
2016-03-12,20.68399999999997
2016-03-13,20.44699999999989
2016-03-14,19.894000000000005
2016-03-15,19.2829999999999
2016-03-16,18.70699999999988
2016-03-17,18.202999999999975
2016-03-18,17.597999999999956
2016-03-19,17.021999999999935
2016-03-20,16.41300000000001
2016-03-21,15.713999999999942
2016-03-22,15.080999999999904
2016-03-23,14.408999999999878
2016-03-24,13.795999999999822
2016-03-25,13.580999999999904
2016-03-26,13.759000000000015
2016-03-27,13.954999999999927
2016-03-28,14.042999999999893
2016-03-29,14.204499999999825
2016-03-30,14.314999999999827
2016-03-31,14.472999999999956
2016-04-01,14.201999999999998
2016-04-02,13.82899999999995
2016-04-03,13.321999999999889
2016-04-04,12.648999999999887
2016-04-05,11.914999999999964
2016-04-06,11.134000000000015
2016-04-07,10.315999999999804
2016-04-08,9.41099999999983
2016-04-09,8.448999999999842
2016-04-10,7.42899999999986
2016-04-11,6.323999999999842
2016-04-12,5.378999999999905
2016-04-13,4.90099999999984
2016-04-14,4.475999999999885
2016-04-15,4.249000000000024
2016-04-16,3.92899999999986
2016-04-17,3.6749999999999545
2016-04-18,3.4139999999999873
2016-04-19,3.16599999999994
2016-04-20,2.9320000000000164
2016-04-21,2.7439999999999145
2016-04-22,3.2199999999998
2016-04-23,3.8899999999998727
2016-04-24,4.682999999999993
2016-04-25,5.995999999999867
2016-04-26,7.895999999999958
2016-04-27,9.626999999999953
2016-04-28,11.386999999999944
2016-04-29,12.492999999999938
2016-04-30,13.116999999999962
2016-05-01,13.560999999999922
2016-05-02,13.927999999999884
2016-05-03,14.3449999999998
2016-05-04,14.70399999999995
2016-05-05,15.017999999999802
2016-05-06,14.70399999999995
2016-05-07,14.848999999999933
2016-05-08,14.961999999999989
2016-05-09,15.444999999999936
2016-05-10,16.207999999999856
2016-05-11,16.842999999999847
2016-05-12,17.548999999999978
2016-05-13,18.432000000000016
2016-05-14,18.75799999999981
2016-05-15,18.9849999999999
2016-05-16,18.44399999999996
2016-05-17,18.203199999999924
2016-05-18,18.206500000000005
2016-05-19,18.257000000000062
2016-05-20,18.019999999999982
2016-05-21,17.679999999999836
2016-05-22,17.432999999999993
2016-05-23,17.14799999999991
2016-05-24,17.07399999999984
2016-05-25,16.83216666666658
2016-05-26,16.701499999999896
2016-05-27,
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-04,
2016-06-05,
2016-10-09,17.161999999999807
2016-10-10,17.56866666666633
2016-10-11,18.16099999999983
2016-10-12,18.675666666666757
2016-10-13,19.13000000000011
2016-10-14,19.5476666666666
2016-10-15,20.00299999999993
2016-10-16,20.41266666666661
2016-10-17,20.752666666666528
2016-10-18,21.09999999999991
2016-10-19,21.40599999999972
2016-10-20,21.781666666666524
2016-10-21,22.11500000000001
2016-10-22,22.416999999999916
2016-10-23,22.720666666666602
2016-10-24,22.9996666666666
2016-10-25,23.282333333333327
2016-10-26,23.6099999999999
2016-10-27,23.98633333333305
2016-10-28,24.25499999999988
2016-10-29,24.426999999999907
2016-10-30,24.64799999999991
2016-10-31,24.899666666666462
2016-11-01,25.157333333333327
2016-11-02,25.34566666666683
2016-11-03,25.14133333333325
2016-11-04,24.763999999999896
2016-11-05,24.478000000000065
2016-11-06,24.238999999999805
2016-11-07,23.91433333333316
2016-11-08,23.354666666666617
2016-11-09,22.725666666666484
2016-11-10,22.115666666666584
2016-11-11,21.49499999999989
2016-11-12,20.901000000000067
2016-11-13,20.313666666666677
2016-11-14,19.72499999999968
2016-11-15,19.023666666666713
2016-11-16,18.274000000000115
2016-11-17,17.438333333333276
2016-11-18,16.613000000000056
2016-11-19,15.881666666666433
2016-11-20,15.136333333333141
2016-11-21,14.49299999999971
2016-11-22,14.011250000000018
2016-11-23,13.62166666666667
2016-11-24,13.323333333333267
2016-11-25,13.131000000000085
2016-11-26,12.868333333333112
2016-11-27,12.609333333333097
2016-11-28,12.420333333333247
2016-11-29,12.222333333333154
2016-11-30,11.941333333333432
2016-12-01,11.653333333333194
2016-12-02,11.375666666666575
2016-12-03,11.107999999999947
2016-12-04,10.831666666666479
2016-12-05,10.638333333333094
2016-12-06,10.638333333333094
2016-12-07,10.936333333333323
2016-12-08,11.383666666666613
2016-12-09,11.963999999999942
2016-12-10,12.480999999999995
2016-12-11,12.99666666666667
2016-12-12,13.520999999999958
2016-12-13,13.911999999999807
2016-12-20,15.395499999999856
2016-12-21,16.878999999999905
2016-12-22,17.033666666666477
2016-12-23,17.281999999999925
